code,country,country_code,acronym,name_fr,name_original,name,ep2024_group_code,ep2024_group_name,ep2019_group_code,ep2019_group_name,ep2019_group_acronym,ep2014_group_code,ep2014_group_name,ep2014_group_acronym,pol_position_primary_code,pol_position_primary_name,pol_position_secondary_code,pol_position_secondary_name,ep_belgium_electoral_college,ep_name,ep_name_alt,ee_name,ee_name_alt
AUT-MISC,Austria,AUT,MISC,Autres partis,,Others parties,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
AUT-GRUENE,Austria,AUT,GRUENE,Les Verts - L'Alternative verte,Die Grünen – Die Grüne Alternative,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,Die Grünen - Die Grüne Alternative,,Die Grünen – Die Grüne Alternative,
AUT-PILZ,Austria,AUT,PILZ,Liste Peter Pilz,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,ECO,Ecologist,GAU,Left,,nc,,,
AUT-JETZT,Austria,AUT,JETZT,Maintenant – liste Pilz,Jetzt – Liste Pilz,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,GAU,Left,,,,nc,,,
AUT-NEOS,Austria,AUT,NEOS,"NEOS, la nouvelle Autriche et le Forum libéral",NEOS – Das Neue Österreich,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,CEN,Center,,NEOS – Das Neue Österreich,,NEOS – Das Neue Österreich,
AUT-KPO,Austria,AUT,KPO,Parti communiste d'Autriche,Kommunistische Partei Österreichs,Communist Party of Austria,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,,,,EXG,Far left,,,,,,Kommunistische Partei Österreichs,
AUT-BIER,Austria,AUT,BIER,Parti de la bière,Die Bierpartei,The Beer Party,NC,Groupe inconnu,NC,Unknown,NC,,,,AUT,Others,,,,,,Die Bierpartei,
AUT-FPOE,Austria,AUT,FPOE,Parti de la Liberté,Freiheitliche Partei Österreichs,,PPLE,Les Patriotes,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,DSV,Right nationalist,,Freiheitliche Partei Österreichs,,Freiheitliche Partei Österreichs,
AUT-OEVP,Austria,AUT,OEVP,Parti populaire autrichien,Österreichische Volkspartei,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Österreichische Volkspartei,,Österreichische Volkspartei,
AUT-SPOE,Austria,AUT,SPOE,Parti social-démocrate d'Autriche,Sozialdemokratische Partei Österreichs,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Sozialdemokratische Partei Österreichs,,Sozialdemokratische Partei Österreichs,
