code,name,name_ep,acronym,order,,,,code,name,,,,ep_belgium_electoral_college_en,,,,code,name_en,order
GUE,European United Left – Nordic Green Left,Confederal Group of the European United Left - Nordic Green Left,EUL/NGL,1,,,,DEU,Germany,,,,French-speaking,,,,EXG,Far left,1
VERTS,Greens/European Free Alliance,Group of the Greens/European Free Alliance,Greens/EFA,2,,,,AUT,Austria,,,,Dutch-speaking,,,,GAU,Left,2
SED,Progressive Alliance of Socialists and Democrats,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,S&D,3,,,,BEL,Belgium,,,,German-speaking,,,,ECO,Ecologist,3
ADLE,Alliance of Liberals and Democrats for Europe,Group of the Alliance of Liberals and Democrats for Europe,ALDE,4,,,,BGR,Bulgary,,,,multiple,,,,CEN,Center,4
PPE,European People's Party,Group of the European People's Party (Christian Democrats),EPP,5,,,,CYP,Cyprus,,,,unknown,,,,LIB,Liberal,5
CRE,European Conservatives and Reformists,European Conservatives and Reformists Group,CRE,6,,,,HRV,Croatia,,,,,,,,DRO,Right,6
ENL,Europe of Nations and Freedom ,Europe of Nations and Freedom Group,ENL,7,,,,DNK,Denmark,,,,,,,,DSV,Right nationalist,7
ELDD,Europe of Freedom and Direct Democracy,Europe of Freedom and Direct Democracy Group,ELDD,8,,,,ESP,Spain,,,,,,,,EXD,Far right,8
NI,Non-attached members,Non-attached members,NI,9,,,,EST,Estonia,,,,,,,,AUT,Others,9
NC,Unknown,Unknown,NC,10,,,,FIN,Finland,,,,,,,,NC,Unknown,10
,,,,,,,,FRA,France,,,,,,,,,,
,,,,,,,,GRC,Greece,,,,,,,,,,
,,,,,,,,HUN,Hungary,,,,,,,,,,
,,,,,,,,IRL,Ireland,,,,,,,,,,
,,,,,,,,ITA,Italy,,,,,,,,,,
,,,,,,,,LVA,Latvia,,,,,,,,,,
,,,,,,,,LTU,Lithuania,,,,,,,,,,
,,,,,,,,LUX,Luxembourg,,,,,,,,,,
,,,,,,,,MLT,Malta,,,,,,,,,,
,,,,,,,,NLD,Netherlands,,,,,,,,,,
,,,,,,,,POL,Poland,,,,,,,,,,
,,,,,,,,PRT,Portugal,,,,,,,,,,
,,,,,,,,CZE,Czech Republic,,,,,,,,,,
,,,,,,,,ROU,Romania,,,,,,,,,,
,,,,,,,,GBR,United Kingdom,,,,,,,,,,
,,,,,,,,SVK,Slovakia,,,,,,,,,,
,,,,,,,,SVN,Slovenia,,,,,,,,,,
,,,,,,,,SWE,Sweden,,,,,,,,,,
