Chambre,Liste,Score,Sièges,Nb voix
Morbihan,FNSEA-JA,40.15,13.0,1088.0
Morbihan,Coordination Rurale,32.77,3.0,888.0
Morbihan,Confédération Paysanne,27.08,2.0,734.0
Vendée,FNSEA-JA,55.69,14.0,1781.0
Vendée,Coordination Rurale,30.02,3.0,960.0
Vendée,Confédération Paysanne,14.29,1.0,457.0
Aude,FNSEA-JA,48.85,13.0,978.0
Aude,Coordination Rurale,30.47,3.0,610.0
Aude,Confédération Paysanne,20.68,2.0,414.0
Vaucluse,FNSEA-JA,49.18,13.0,843.0
Vaucluse,Confédération Paysanne,24.1,2.0,413.0
Vaucluse,Coordination Rurale,17.85,2.0,306.0
Vaucluse,Modef,8.87,1.0,152.0
Haute-Marne,FNSEA-JA,46.51,13.0,559.0
Haute-Marne,Coordination Rurale,29.62,3.0,356.0
Haute-Marne,Confédération Paysanne,23.88,2.0,287.0
Marne,FNSEA-JA,67.86,15.0,2477.0
Marne,Coordination Rurale,24.0,2.0,876.0
Marne,Confédération Paysanne,8.14,1.0,297.0
Nord,FNSEA-JA,53.7,14.0,1646.0
Nord,Coordination Rurale,34.32,3.0,1052.0
Nord,Confédération Paysanne,11.97,1.0,367.0
Hautes-Pyrénées,FNSEA-JA,42.97,13.0,731.0
Hautes-Pyrénées,Coordination Rurale,38.62,3.0,657.0
Hautes-Pyrénées,Confédération Paysanne,18.4,2.0,313.0
Indre,FNSEA-JA,45.28,13.0,677.0
Indre,Coordination Rurale,38.26,3.0,572.0
Indre,Confédération Paysanne,16.45,2.0,246.0
Vienne,Coordination Rurale,47.99,13.0,907.0
Vienne,FNSEA-JA,35.93,3.0,679.0
Vienne,Confédération Paysanne,16.08,2.0,304.0
Dordogne,Coordination Rurale,44.31,13.0,1237.0
Dordogne,FNSEA-JA,34.13,3.0,953.0
Dordogne,Confédération Paysanne,21.56,2.0,602.0
Charente-Maritime,Coordination Rurale,40.88,13.0,762.0
Charente-Maritime,FNSEA-JA,40.72,4.0,759.0
Charente-Maritime,Confédération Paysanne,14.54,1.0,271.0
Charente-Maritime,Modef,3.86,0.0,72.0
Alpes-Maritimes,FNSEA-JA,68.18,15.0,390.0
Alpes-Maritimes,Confédération Paysanne,31.82,3.0,182.0
Var,FNSEA-JA,50.53,14.0,760.0
Var,Coordination Rurale,26.46,2.0,398.0
Var,Confédération Paysanne,23.01,2.0,346.0
Alpes-de-Haute-Provence,FNSEA-JA,49.97,13.0,749.0
Alpes-de-Haute-Provence,Confédération Paysanne,30.89,3.0,463.0
Alpes-de-Haute-Provence,Coordination Rurale,19.15,2.0,287.0
Ain,FNSEA-JA,46.24,13.0,646.0
Ain,Coordination Rurale,27.34,3.0,382.0
Ain,Confédération Paysanne,26.41,2.0,369.0
Aisne,Apparentés FNSEA-JA,64.36,15.0,1560.0
Aisne,Coordination Rurale,27.64,2.0,670.0
Aisne,Confédération Paysanne,8.0,1.0,194.0
Bouches-du-Rhône,FNSEA-JA,49.84,14.0,640.0
Bouches-du-Rhône,Coordination Rurale,25.47,2.0,327.0
Bouches-du-Rhône,Confédération Paysanne,24.69,2.0,317.0
Aveyron,FNSEA-JA,41.65,13.0,2159.0
Aveyron,Coordination Rurale,36.88,3.0,1912.0
Aveyron,Confédération Paysanne,17.15,2.0,889.0
Aveyron,Modef,4.32,0.0,224.0
Gard,Apparentés FNSEA-JA,47.13,13.0,805.0
Gard,Coordination Rurale,25.18,2.0,430.0
Gard,Confédération Paysanne,19.56,2.0,334.0
Gard,Modef,8.14,1.0,139.0
Aube,FNSEA,66.12,15.0,1138.0
Aube,Coordination Rurale,21.32,2.0,367.0
Aube,Confédération Paysanne,12.55,1.0,216.0
Côte-d’Or,FNSEA-JA,58.77,14.0,1122.0
Côte-d’Or,Coordination Rurale,23.78,2.0,454.0
Côte-d’Or,Confédération Paysanne,17.44,2.0,333.0
Saône-et-Loire,FNSEA-JA,52.18,14.0,1242.0
Saône-et-Loire,Coordination Rurale,32.98,3.0,785.0
Saône-et-Loire,Confédération Paysanne,14.83,1.0,353.0
Cher,Coordination Rurale,45.63,13.0,632.0
Cher,FNSEA-JA,42.67,4.0,591.0
Cher,Confédération Paysanne,11.7,1.0,162.0
Creuse,FNSEA-JA,52.92,14.0,943.0
Creuse,Coordination Rurale,29.35,3.0,523.0
Creuse,Confédération Paysanne,12.74,1.0,227.0
Creuse,Modef,4.99,0.0,89.0
Maine-et-Loire,FNSEA-JA,44.86,13.0,1319.0
Maine-et-Loire,Coordination Rurale,29.08,2.0,855.0
Maine-et-Loire,Confédération Paysanne,26.05,2.0,766.0
Deux-Sèvres,FNSEA-JA,40.79,13.0,859.0
Deux-Sèvres,Coordination Rurale,37.75,3.0,795.0
Deux-Sèvres,Confédération Paysanne,21.46,2.0,452.0
Charente,Coordination Rurale,45.71,13.0,853.0
Charente,FNSEA-JA,37.25,4.0,695.0
Charente,Confédération Paysanne,13.24,1.0,247.0
Charente,Modef,3.8,0.0,71.0
Drôme,FNSEA-JA,40.22,13.0,909.0
Drôme,Confédération Paysanne,31.33,3.0,708.0
Drôme,Coordination Rurale,28.45,2.0,643.0
Ardèche,Confédération Paysanne,40.54,13.0,797.0
Ardèche,FNSEA-JA,38.96,3.0,766.0
Ardèche,Coordination Rurale,20.5,2.0,403.0
Eure,FNSEA-JA,56.01,14.0,844.0
Eure,Coordination Rurale,33.24,3.0,501.0
Eure,Confédération Paysanne,10.75,1.0,162.0
Eure-et-Loir,FNSEA-JA,55.61,14.0,1045.0
Eure-et-Loir,Coordination Rurale,34.33,3.0,645.0
Eure-et-Loir,Confédération Paysanne,10.06,1.0,189.0
Haute-Garonne,Unis pour notre avenir,41.06,13.0,868.0
Haute-Garonne,FNSEA-JA,25.64,2.0,542.0
Haute-Garonne,Confédération Paysanne,18.21,2.0,385.0
Haute-Garonne,Coordination Rurale,15.09,1.0,319.0
Haute-Vienne,Coordination Rurale,51.93,14.0,1036.0
Haute-Vienne,FNSEA-JA,25.11,2.0,501.0
Haute-Vienne,Confédération Paysanne,22.96,2.0,458.0
Sarthe,FNSEA-JA,51.56,14.0,909.0
Sarthe,Coordination Rurale,32.84,3.0,579.0
Sarthe,Confédération Paysanne,15.6,1.0,275.0
Indre-et-Loire,Coordination Rurale,40.16,13.0,608.0
Indre-et-Loire,FNSEA-JA,38.04,3.0,576.0
Indre-et-Loire,Confédération Paysanne,21.8,2.0,330.0
Isère,FNSEA-JA,38.7,12.0,767.0
Isère,Confédération Paysanne,32.95,3.0,653.0
Isère,Coordination Rurale,28.36,3.0,562.0
Jura,FNSEA-JA,51.3,14.0,649.0
Jura,Confédération Paysanne,27.04,2.0,342.0
