col,name
alain_juppe,Alain Juppé
arnaud_montebourg,Arnaud Montebourg
benoît_hamon,Benoît Hamon
bruno_le_maire,Bruno Le Maire
cécile_duflot,Cécile Duflot
emmanuel_macron,Emmanuel Macron
françois_asselineau,François Asselineau
françois_bayrou,François Bayrou
françois_fillon,François Fillon
françois_hollande,François Hollande
jacques_cheminade,Jacques Cheminade
jean_lassalle,Jean Lassalle
jean-luc_mélenchon,Jean-Luc Mélenchon
manuel_valls,Manuel Valls
marine_le_pen,Marine Le Pen
nathalie_arthaud,Nathalie Arthaud
nicolas_dupont-aignan,Nicolas Dupont-Aignan
nicolas_hulot,Nicolas Hulot
nicolas_sarkozy,Nicolas Sarkozy
philippe_poutou,Philippe Poutou
sylvia_pinel,Sylvia Pinel
vincent_peillon,Vincent Peillon
yannick_jadot,Yannick Jadot
