company_short,end_date,sample,abstention,undecided,alain_juppe,arnaud_montebourg,benoît_hamon,bruno_le_maire,cécile_duflot,emmanuel_macron,françois_asselineau,françois_bayrou,françois_fillon,françois_hollande,jacques_cheminade,jean_lassalle,jean-luc_mélenchon,manuel_valls,marine_le_pen,nathalie_arthaud,nicolas_dupont-aignan,nicolas_hulot,nicolas_sarkozy,philippe_poutou,sylvia_pinel,vincent_peillon,yannick_jadot,others,company_long
Odoxa,2017-04-21,953,,,,,0.075,,,0.245,0.01,,0.19,,0,0.005,0.19,,0.23,0,0.045,,,0.01,,,,,Odoxa
BVA,2017-04-21,1494,0.22,0.29,,,0.08,,,0.23,0.005,,0.19,,0.005,0.01,0.195,,0.23,0.005,0.04,,,0.015,,,,,BVA
Ifop,2017-04-21,2823,0.27,0.26,,,0.07,,,0.245,0.01,,0.195,,0,0.01,0.185,,0.225,0.005,0.04,,,0.015,,,,,Ifop-Fiducial
Opinion Way,2017-04-21,1500,0.23,0.3,,,0.08,,,0.23,0.01,,0.21,,0,0.01,0.18,,0.22,0,0.04,,,0.02,,,,,OpinionWay
Ipsos,2017-04-20,1401,0.27,0.31,,,0.075,,,0.24,0.01,,0.19,,0.005,0.015,0.19,,0.22,0.005,0.04,,,0.015,,,,,Ipsos Sopra Steria
Elabe,2017-04-20,1197,,,,,0.07,,,0.24,0.01,,0.2,,0.005,0.01,0.195,,0.215,0.005,0.04,,,0.015,,,,,Elabe
Harris Interactive,2017-04-19,2812,,,,,0.075,,,0.25,0.005,,0.19,,0.005,0.01,0.19,,0.22,0.005,0.04,,,0.015,,,,,Harris Interactive
BVA,2017-04-19,1427,0.2,0.29,,,0.085,,,0.24,0.005,,0.19,,0.005,0.005,0.19,,0.23,0.005,0.035,,,0.015,,,,,BVA
Ipsos,2017-04-17,8274,0.28,0.28,,,0.08,,,0.23,0.01,,0.195,,0.005,0.01,0.19,,0.225,0.005,0.04,,,0.015,,,,,Cevipof Ipsos Sopra Steria
Elabe,2017-04-17,1170,,0.32,,,0.08,,,0.24,0.005,,0.195,,0.005,0.005,0.18,,0.23,0.005,0.04,,,0.02,,,,,Elabe
Kantar,2017-04-17,1530,0.22,,,,0.08,,,0.24,0.01,,0.185,,0.005,0.01,0.18,,0.23,0.005,0.04,,,0.02,,,,,Kantar Sofres - OnePoint
Ifop,2017-04-15,1851,,,,,0.08,,,0.23,0.01,,0.19,,0,0.01,0.195,,0.22,0.005,0.04,,,0.02,,,,,Ifop-Fiducial
Scan Research / Le Terrain,2017-04-15,642,,,,,0.08,,,0.24,0.005,,0.175,,0,0.005,0.22,,0.215,0.01,0.035,,,0.015,,,,,Scan Research - Le Terrain
BVA,2017-04-14,1439,0.23,0.34,,,0.075,,,0.23,0.01,,0.2,,0.005,0.01,0.2,,0.22,0.01,0.03,,,0.015,,,,,BVA
Ifop,2017-04-14,2776,0.31,0.28,,,0.08,,,0.225,0.01,,0.19,,0,0.01,0.19,,0.23,0.005,0.04,,,0.02,,,,,Ifop-Fiducial
Odoxa,2017-04-13,1001,0.25,,,,0.08,,,0.245,0.005,,0.185,,0,0.015,0.19,,0.23,0,0.035,,,0.015,,,,,Odoxa
Ipsos,2017-04-13,1509,0.34,0.34,,,0.075,,,0.22,0.015,,0.19,,0.005,0.015,0.2,,0.22,0.005,0.035,,,0.02,,,,,« Ipsos »(Archive • Wikiwix • Archive.is • Google • Que faire ?)
Harris Interactive,2017-04-13,1002,,,,,0.08,,,0.24,0.01,,0.2,,0.005,0.01,0.19,,0.22,0.005,0.04,,,0.01,,,,,Harris Interactive
Opinion Way,2017-04-13,1500,0.23,0.38,,,0.09,,,0.22,0.02,,0.2,,0,0.02,0.17,,0.23,0,0.03,,,0.02,,,,,OpinionWay
Elabe,2017-04-12,776,,0.3,,,0.09,,,0.235,0.005,,0.2,,0.005,0.005,0.185,,0.225,0.005,0.03,,,0.02,,,,,Elabe
Ifop,2017-04-11,2806,0.32,0.29,,,0.085,,,0.23,0.005,,0.19,,0,0.01,0.185,,0.24,0.005,0.035,,,0.015,,,,,Ifop-Fiducial
Elabe,2017-04-10,807,0.37,,,,0.1,,,0.23,0.005,,0.19,,0.005,0.005,0.17,,0.23,0.005,0.04,,,0.025,,,,,Elabe
Ipsos,2017-04-09,1604,0.34,0.4,,,0.08,,,0.24,0.01,,0.18,,0.005,0.005,0.185,,0.24,0.01,0.035,,,0.015,,,,,Ipsos
Kantar,2017-04-07,1515,,,,,0.09,,,0.24,0.01,,0.17,,0.005,0.005,0.18,,0.24,0.005,0.035,,,0.025,,,,,Kantar Sofres - OnePoint
BVA,2017-04-07,1421,0.29,0.38,,,0.085,,,0.23,0.005,,0.19,,0.005,0.01,0.19,,0.23,0.01,0.035,,,0.015,,,,,BVA
Harris Interactive,2017-04-06,1014,,,,,0.09,,,0.24,0.01,,0.19,,0.005,0.01,0.18,,0.23,0.01,0.03,,,0.01,,,,,Harris Interactive
Ifop,2017-04-06,2243,0.35,0.31,,,0.095,,,0.24,0,,0.185,,0,0.01,0.165,,0.245,0.005,0.045,,,0.01,,,,,Ifop-Fiducial
Opinion Way,2017-04-06,1500,,,,,0.1,,,0.24,0,,0.2,,0,0,0.16,,0.25,0,0.03,,,0.02,,,,,OpinionWay
Odoxa,2017-04-05,1001,0.17,,,,0.09,,,0.235,0.01,,0.185,,0,0.005,0.18,,0.23,0.005,0.04,,,0.02,,,,,Odoxa
Elabe,2017-04-05,995,0.36,,,,0.09,,,0.235,0.005,,0.19,,0.005,0.01,0.17,,0.235,0.01,0.045,,,0.015,,,,,Elabe
Harris Interactive,2017-04-05,6274,,,,,0.09,,,0.25,0.01,,0.18,,0.005,0.01,0.17,,0.24,0.01,0.03,,,0.01,,,,,Harris Interactive
Ifop,2017-04-03,2232,0.34,0.3,,,0.1,,,0.26,0.005,,0.17,,0,0.01,0.15,,0.255,0.005,0.04,,,0.005,,,,,Ifop-Fiducial
Ipsos,2017-04-02,9460,0.33,,,,0.1,,,0.25,0.005,,0.175,,0.005,0.01,0.15,,0.25,0.01,0.04,,,0.01,,,,,Cevipof Ipsos Sopra Steria
BVA,2017-03-30,1418,0.24,0.31,,,0.115,,,0.25,0.005,,0.19,,0.005,0.005,0.15,,0.24,0.01,0.03,,,0.005,,,,,BVA
Odoxa,2017-03-30,969,,,,,0.08,,,0.26,0.005,,0.17,,0,0.01,0.16,,0.25,0,0.05,,,0.015,,,,,Odoxa
Opinion Way,2017-03-30,1500,,0.39,,,0.11,,,0.24,0.01,,0.19,,0,0.01,0.15,,0.24,0,0.04,,,0.01,,,,,OpinionWay
Elabe,2017-03-29,1040,0.41,0.33,,,0.1,,,0.255,0.005,,0.18,,0.005,0.01,0.15,,0.24,0.005,0.045,,,0.005,,,,,Elabe
Ifop,2017-03-29,2241,0.37,0.33,,,0.1,,,0.26,0.005,,0.175,,0,0.01,0.14,,0.255,0.005,0.045,,,0.005,,,,,Ifop-Fiducial
Ipsos,2017-03-27,1005,0.35,0.41,,,0.12,,,0.24,0.005,,0.18,,0.005,0.01,0.14,,0.25,0.01,0.035,,,0.01,,,,,Ipsos
Scan Research / Le Terrain,2017-03-27,586,,,,,0.09,,,0.245,0.002,,0.155,,0.002,0.003,0.195,,0.24,0.008,0.04,,,0.02,,,,,Scan Research - Le Terrain
BVA,2017-03-24,1431,0.24,0.4,,,0.115,,,0.26,0.005,,0.17,,0.005,0.01,0.14,,0.25,0.005,0.04,,,0.005,,,,,BVA
Ifop,2017-03-24,2225,0.37,0.35,,,0.105,,,0.26,0.005,,0.18,,0,0.01,0.13,,0.25,0.005,0.05,,,0.005,,,,,Ifop-Fiducial
Opinion Way,2017-03-23,1500,,0.42,,,0.11,,,0.24,0,,0.19,,0,0.01,0.14,,0.25,0.01,0.04,,,0.01,,,,,OpinionWay
